channels,hardware,backend,block_depth,stratas,image_size,HtoD Avg (ms),DtoH Avg (ms),Kernel Time (ms)
3,a4000,tensorrt,5,4,512,0.7,0.26,33.72
3,a4000,tensorrt,5,4,1024,0.71,1.31,135.01
3,a4000,tensorrt,5,4,2048,0.71,5.29,544.79
3,a4000,tensorrt,5,5,256,2.84,0.06,12.38
3,a4000,tensorrt,5,5,512,2.86,0.28,41.82
3,a4000,tensorrt,5,5,1024,2.82,1.3,164.16
3,a4000,tensorrt,5,5,2048,2.88,5.28,662.12
3,a6000,cuda,2,2,256,0.01,0.06,12.51
3,a6000,cuda,2,2,512,0.01,0.3,24.18
3,a6000,cuda,2,2,1024,0.01,1.38,71.56
3,a6000,cuda,2,2,2048,0.01,5.38,258.68
3,a6000,cuda,2,3,256,0.07,0.06,35.05
3,a6000,cuda,2,3,512,0.07,0.3,61.44
3,a6000,cuda,2,3,1024,0.07,1.39,117.45
3,a6000,cuda,2,3,2048,0.07,5.32,410.9
3,a6000,cuda,2,4,256,0.29,0.06,56.75
3,a6000,cuda,2,4,512,0.32,0.3,113.25
3,a6000,cuda,2,4,1024,0.29,1.36,163.0
3,a6000,cuda,2,4,2048,0.3,5.32,559.63
3,a6000,cuda,2,5,256,1.17,0.06,75.08
3,a6000,cuda,2,5,512,1.17,0.32,161.88
3,a6000,cuda,2,5,1024,1.18,1.36,213.36
3,a6000,cuda,2,5,2048,1.18,5.42,717.86
3,a6000,cuda,3,2,256,0.02,0.06,20.14
3,a6000,cuda,3,2,512,0.02,0.28,37.41
3,a6000,cuda,3,2,1024,0.02,1.32,110.45
3,a6000,cuda,3,2,2048,0.02,5.36,398.14
3,a6000,cuda,3,3,256,0.1,0.06,52.86
3,a6000,cuda,3,3,512,0.1,0.3,95.99
3,a6000,cuda,3,3,1024,0.1,1.32,177.69
3,a6000,cuda,3,3,2048,0.1,5.33,616.55
3,a6000,cuda,3,4,256,0.43,0.06,83.69
3,a6000,cuda,3,4,512,0.43,0.28,184.49
3,a6000,cuda,3,4,1024,0.42,1.34,242.42
3,a6000,cuda,3,4,2048,0.43,5.33,824.42
3,a6000,cuda,3,5,256,1.71,0.06,109.1
3,a6000,cuda,3,5,512,1.74,0.31,266.77
3,a6000,cuda,3,5,1024,1.73,1.32,314.07
3,a6000,cuda,3,5,2048,1.72,5.37,1051.52
3,a6000,cuda,4,2,256,0.03,0.06,27.82
3,a6000,cuda,4,2,512,0.03,0.31,50.82
3,a6000,cuda,4,2,1024,0.03,1.33,149.25
3,a6000,cuda,4,2,2048,0.03,5.39,539.48
3,a6000,cuda,4,3,256,0.13,0.06,70.61
3,a6000,cuda,4,3,512,0.13,0.31,130.19
3,a6000,cuda,4,3,1024,0.13,1.36,238.34
3,a6000,cuda,4,3,2048,0.13,5.37,818.71
3,a6000,cuda,4,4,256,0.55,0.06,110.57
3,a6000,cuda,4,4,512,0.55,0.31,255.24
3,a6000,cuda,4,4,1024,0.55,1.35,321.27
3,a6000,cuda,4,4,2048,0.56,5.34,1089.91
3,a6000,cuda,4,5,256,2.27,0.06,144.55
3,a6000,cuda,4,5,512,2.3,0.4,371.51
3,a6000,cuda,4,5,1024,2.26,1.3,414.74
3,a6000,cuda,4,5,2048,2.27,5.36,1386.19
3,a6000,cuda,5,2,256,0.04,0.06,35.21
3,a6000,cuda,5,2,512,0.04,0.3,64.07
3,a6000,cuda,5,2,1024,0.04,1.41,188.34
3,a6000,cuda,5,2,2048,0.04,5.32,675.05
3,a6000,cuda,5,3,256,0.16,0.06,88.18
3,a6000,cuda,5,3,512,0.17,0.29,164.64
3,a6000,cuda,5,3,1024,0.16,1.33,297.92
3,a6000,cuda,5,3,2048,0.16,5.35,1016.65
3,a6000,cuda,5,4,256,0.68,0.06,137.43
3,a6000,cuda,5,4,512,0.68,0.3,325.7
3,a6000,cuda,5,4,1024,0.7,1.33,400.46
3,a6000,cuda,5,4,2048,0.68,5.31,1351.92
3,a6000,cuda,5,5,256,2.81,0.06,179.58
3,a6000,cuda,5,5,512,2.84,0.31,476.16
3,a6000,cuda,5,5,1024,2.77,1.3,516.23
3,a6000,cuda,5,5,2048,2.79,5.38,1719.01
3,a6000,tensorrt,2,2,256,0.02,0.06,1.01
3,a6000,tensorrt,2,2,512,0.02,0.28,3.79
3,a6000,tensorrt,2,2,1024,0.02,1.28,15.01
3,a6000,tensorrt,2,2,2048,0.02,5.37,61.41
3,a6000,tensorrt,2,3,256,0.07,0.06,1.59
3,a6000,tensorrt,2,3,512,0.07,0.28,6.12
3,a6000,tensorrt,2,3,1024,0.07,1.28,23.67
3,a6000,tensorrt,2,3,2048,0.07,5.38,95.6
3,a6000,tensorrt,2,4,256,0.33,0.06,2.25
3,a6000,tensorrt,2,4,512,0.29,0.28,8.25
3,a6000,tensorrt,2,4,1024,0.3,1.27,31.62
3,a6000,tensorrt,2,4,2048,0.29,5.33,125.51
3,a6000,tensorrt,2,5,256,1.62,0.06,3.14
3,a6000,tensorrt,2,5,512,1.18,0.28,10.24
3,a6000,tensorrt,2,5,1024,1.19,1.29,39.56
3,a6000,tensorrt,2,5,2048,1.19,5.34,154.34
3,a6000,tensorrt,3,2,256,0.03,0.06,1.46
